stmPedRampID,stmPedRampCrossingLinkID1,stmPedRampCrossingLinkID2,stmPedRampCrossingLinkID3,stmPedRampCrossingLinkID4,stmPedRampLongitudeVideoLinear,stmPedRampLatitudeVideoLinear,stmPedRampWidth,stmPedRampSlope,stmPedRampCrossSlope,stmPedRampGutterSlope,stmPedRampPassingWidth,stmPedRampPassingCrossSlope,stmPedRampFlareSlopeLeft,stmPedRampFlareSlopeRight,stmPedRampSmooth,stmPedRampFlushAtTop,stmPedRampFlushAtBottom,stmPedRampFlushAtStreet,stmPedRampWarningSurfacePresent,stmPedRampWarningSurfaceCondition,stmPedRampTransitionSlopeLeft,stmPedRampTransitionSlopeRight,stmPedRampLandingCrossSlope
213685256,1229793387,,,,-84.2322112,33.9298617,,,,,,,,,,-999,,-999,-999,,,,
213707654,1236748276,,,,-84.258464,33.9174391,,,,,,,,,,,,,-999,,,,
213732822,1227227175,,,,-84.0146336,33.9213749,,,,,,,,,,,,,,,,,
213743836,639780211,,,,-84.2321622,33.9490278,,,,,,,,,,,,,,,,,
213769331,1226064488,,,,-84.0506871,33.9528147,,,,,,,,,,,,,,,,,
213782964,1221625002,,,,-84.0218007,33.9388613,,,,,,,,,,,,,,,,,
213880264,1201835462,,,,-83.9846156,33.9566212,,,,,,,,,,,,,-999,,,,
213886706,1246168355,,,,-84.0654521,33.9511545,,,,,,,,,,,,,-999,,,,
213913849,1215623585,,,,-84.0934054,33.9781872,,,,,,,,,,,,,,,,,
213939420,1221906016,,,,-84.2488397,33.9572006,,,,,,,,,,,,,-999,,,,
213982403,1222651917,,,,-84.2534984,33.9368141,,,,,,,,,,,,,,,,,
213987990,1250874749,,,,-84.141416,33.9079737,,,,,,,,,,,,,,,,,
213998803,401490799,,,,-84.0709362,33.9760907,,-999,,,,,,,,,,,,,,,
214001385,1223620891,,,,-84.2745018,33.9022624,,,,,,,,,,,,,,,,,
214008375,1220151628,,,,-84.2147151,33.9824123,,-999,,,,,,,,,,,-999,,,,
214017504,1226865327,,,,-84.2092834,33.9235931,,,-999,,,,-999,-999,,,,,-999,,,,
214041834,1106984987,,,,-84.0173737,33.9236244,,,,,,,,,,,,,,,,,
214058392,1201573729,,,,-83.9932276,33.9440098,,,,,,,,,,,,,,,,,
214062754,1220389478,,,,-84.0807853,33.9589199,,,-999,,,,,,,,,-999,,,,,
214067549,1220417210,,,,-84.2093529,33.990227,,,,,,,,,,-999,,,-999,,,,
214088737,1201582671,,,,-83.9979178,33.9574612,,,,,,,,,,,,,-999,,,,
214103491,1118363362,,,,-84.0816597,33.9870089,,,,,,,,,,,,,,,,,
214123155,401637647,,,,-84.1022961,33.9791698,,,-999,,,,,,,,,,,,,,
214148169,1213947771,,,,-83.9930962,33.974866,,,,,,,,,,,,,,,,,
214165560,1231732461,,,,-84.2593902,33.9102397,,,,,,,,,,,,,,,,,
214167111,1226047096,1226047097,,,-84.0504726,33.972533,,,,,,,,,,,,,,,,,
214174689,1216386671,,,,-84.1345485,33.9424204,,,,,,,,,,,,,-999,,,,
214194463,1227256838,,,,-83.999164,33.9196066,,,,,,,,,,,,,,,,,
214218009,1206018822,,,,-83.9929269,33.9392425,,,,,,,,,,,,,-999,,,,
214267629,1118363364,,,,-84.0820923,33.9871217,,,,,,,,,,,,,,,,,
214329174,1220175340,,,,-84.2075137,33.9665326,,,,,,,,-999,,,,,-999,,,,
214339184,1221883458,,,,-84.1741391,33.9331772,,,,,,,,,,,,,-999,,,,
