stmCrossingLinkID,stmPedRampID1,stmPedRampID2,stmPedRampID3,stmPedRampID4,RampCount
1106973008,281240038,273957455,,,2
1106973010,264709428,242751660,,,2
1106973015,291799747,242751660,,,2
1106973016,240545437,291799747,,,2
1106973017,255940633,240545437,,,2
1106984968,233544001,242468940,,,2
1106984969,291054134,233544001,,,2
1106984981,231411417,282263001,,,2
1106984985,265246184,225797564,,,2
1106984986,294440803,294139154,,,2
1106984987,247729679,214041834,,,2
1106984988,298067155,265239903,,,2
1106984989,239293421,298067155,,,2
1106984990,240860230,239293421,,,2
1106984992,266631851,276552991,,,2
1106985019,289536420,253685302,,,2
1107965612,215463438,256577212,,,2
1107965614,238717556,241243856,,,2
1107965616,295484085,283276613,,,2
1107965618,275342678,288249913,,,2
1107965620,284429615,297936676,,,2
1107965622,223395177,261737528,,,2
1107965624,277147266,264430216,,,2
1107965626,240862332,211717883,,,2
1107966000,286579424,234817904,,,2
1107966001,290074875,240257277,,,2
1107966003,268294474,224817069,,,2
1107975493,262370951,,,,1
1107975506,292654897,279276412,,,2
1107975516,271727694,245050551,,,2
1107975518,273488112,225581810,,,2
1107975519,253083854,296784370,,,2
1107975521,261022964,258832412,,,2
1107975523,299075013,267016645,,,2
1107975524,297654469,296815172,,,2
1107975530,238160448,227627681,,,2
1107975532,238577638,264007336,,,2
1107975534,257703812,268143784,,,2
1107975536,279631863,240987370,,,2
1107975541,282766175,217404855,,,2
1107975544,230371165,289253814,,,2
1107975546,299549318,265488250,,,2
1107975547,219954125,294342564,,,2
1107975564,253767138,226979348,,,2
1107975566,290378175,231190194,,,2
1107975567,296699039,,,,1
1107975568,294394133,284772574,,,2
1107979519,227633332,246415649,,,2
1107979520,290645156,294701696,,,2
1107979523,243646275,297743483,,,2
1107979524,232120258,236873109,,,2
1107979527,212847635,218258135,,,2
1107979528,298712045,260345959,,,2
1107979530,298015410,,,,1
1107979532,239188208,265672467,,,2
1107979534,243010158,210131951,,,2
1107979536,232962480,249405535,,,2
